Actor/Actress	Movie	Year
Robert Ri'chard	Light It Up	1999
Forest Whitaker	Light It Up	1999
Usher Raymond	Light It Up	1999
Rosario Dawson	Sp!t	2006
Robert Downey Jr.	Chaplin	1992
Paul Rhys	Chaplin	1992
Geraldine Chaplin	Chaplin	1992
Robert Downey Jr.	Tropic Thunder	2008
Jeff Kahn	Tropic Thunder	2008
Jack Black	Tropic Thunder	2008
Ben Stiller	Tropic Thunder	2008
Robert Downey Jr.	The Singing Detective	2003
Jeremy Northam	The Singing Detective	2003
Mel Gibson	The Singing Detective	2003
Robin Wright	The Singing Detective	2003
Robert Downey Jr.	1969	1988
Mariette Hartley	1969	1988
Kiefer Sutherland	1969	1988
Bruce Dern	1969	1988
Robert Downey Jr.	Zodiac	2007
Jake Gyllenhaal	Zodiac	2007
Anthony Edwards	Zodiac	2007
Robert Downey Jr.	A Scanner Darkly	2006
Keanu Reeves	A Scanner Darkly	2006
Rory Cochrane	A Scanner Darkly	2006
Robert Downey Jr.	The Judge	2014
Vera Farmiga	The Judge	2014
Robert Downey Jr.	Sherlock Holmes	2009
Rachel McAdams	Sherlock Holmes	2009
Jude Law	Sherlock Holmes	2009
Mark Strong	Sherlock Holmes	2009
Robert Downey Jr.	Captain America: Civil War	2016
Scarlett Johansson	Captain America: Civil War	2016
Chris Evans	Captain America: Civil War	2016
Sebastian Stan	Captain America: Civil War	2016
Robert Downey Jr.	Spider-Man: Homecoming	2017
Tom Holland	Spider-Man: Homecoming	2017
Marisa Tomei	Spider-Man: Homecoming	2017
Michael Keaton	Spider-Man: Homecoming	2017
Shia LaBeouf	The Battle of Shaker Heights	2003
Anson Mount	The Battle of Shaker Heights	2003
Amy Smart	The Battle of Shaker Heights	2003
Shia LaBeouf	Wall Street: Money Never Sleeps	2010
Michael Douglas	Wall Street: Money Never Sleeps	2010
Carey Mulligan	Wall Street: Money Never Sleeps	2010
Josh Brolin	Wall Street: Money Never Sleeps	2010
Shia LaBeouf	Transformers: Dark of the Moon	2011
Tyrese Gibson	Transformers: Dark of the Moon	2011
Shia LaBeouf	Lawless	2012
Jason Clarke	Lawless	2012
Tom Hardy	Lawless	2012
Guy Pearce	Lawless	2012
Shia LaBeouf	Man Down	2015
Kate Mara	Man Down	2015
Jai Courtney	Man Down	2015
Shia LaBeouf	Transformers: Revenge of the Fallen	2009
Josh Duhamel	Transformers: Revenge of the Fallen	2009
Tyrese Gibson	Transformers: Revenge of the Fallen	2009
Megan Fox	Transformers: Revenge of the Fallen	2009
Shia LaBeouf	Indiana Jones and the Kingdom of the Crystal Skull	2008
Cate Blanchett	Indiana Jones and the Kingdom of the Crystal Skull	2008
Harrison Ford	Indiana Jones and the Kingdom of the Crystal Skull	2008
Karen Allen	Indiana Jones and the Kingdom of the Crystal Skull	2008
Shia LaBeouf	Honey Boy	2019
Natasha Lyonne	Honey Boy	2019
Laura San Giacomo	Honey Boy	2019
Shia LaBeouf	The Greatest Game Ever Played	2005
Stephen Dillane	The Greatest Game Ever Played	2005
James Paxton	The Greatest Game Ever Played	2005
Elias Koteas	The Greatest Game Ever Played	2005
Shia LaBeouf	Transformers	2007
Josh Duhamel	Transformers	2007
Tyrese Gibson	Transformers	2007
Megan Fox	Transformers	2007
Sam Neill	Colin McCahon: I Am	2004
Paul Casserly	Colin McCahon: I Am	2004
Sam Neill	Possession	1981
Isabelle Adjani	Possession	1981
Margit Carstensen	Possession	1981
Heinz Bennent	Possession	1981
Frances McDormand	Promised Land	2012
John Krasinski	Promised Land	2012
Hal Holbrook	Promised Land	2012
Matt Damon	Promised Land	2012
Frances McDormand	Chattahoochee	1989
Dennis Hopper	Chattahoochee	1989
Pamela Reed	Chattahoochee	1989
Frances McDormand	Friends with Money	2006
Jennifer Aniston	Friends with Money	2006
Peter Gallagher	Protection	2001
Aron Tager	Protection	2001
Stephen Baldwin	Protection	2001
Peter Gallagher	Sundance Skippy	2010
Brittany Flickinger	Sundance Skippy	2010
Zooey Deschanel	Sundance Skippy	2010
Minnie Driver	Sundance Skippy	2010
Ben Affleck	Sundance Skippy	2010
Michael Cera	Sundance Skippy	2010
Rob Corddry	Sundance Skippy	2010
Peter Gallagher	Watch It	1993
Jon Tenney	Watch It	1993
John C. McGinley	Watch It	1993
Suzy Amis	Watch It	1993
Peter Gallagher	House on Haunted Hill	1999
Famke Janssen	House on Haunted Hill	1999
Taye Diggs	House on Haunted Hill	1999
Geoffrey Rush	House on Haunted Hill	1999
Peter Gallagher	Adam	2009
Peter Gallagher	To Gillian on Her 37th Birthday	1996
Claire Danes	To Gillian on Her 37th Birthday	1996
Michelle Pfeiffer	To Gillian on Her 37th Birthday	1996
Laurie Fortier	To Gillian on Her 37th Birthday	1996
John Kapelos	Everybody Wants to Be Italian	2007
Jay Jablonski	Everybody Wants to Be Italian	2007
Cerina Vincent	Everybody Wants to Be Italian	2007
John Enos III	Everybody Wants to Be Italian	2007
John Kapelos	The Boost	1988
Sean Young	The Boost	1988
John Kapelos	Cold Blooded	2000
Brian Markinson	Cold Blooded	2000
Kenneth Welsh	Cold Blooded	2000
Tony Nardi	Cold Blooded	2000
Cameron Diaz	Gangs of New York	2002
Cameron Diaz	Shrek the Third	2007
Mike Myers	Shrek the Third	2007
Eddie Murphy	Shrek the Third	2007
Antonio Banderas	Shrek the Third	2007
Cameron Diaz	Sex Tape	2014
Ellie Kemper	Sex Tape	2014
Rob Corddry	Sex Tape	2014
Jason Segel	Sex Tape	2014
Mike Myers	Shrek Forever After	2010
Antonio Banderas	Shrek Forever After	2010
Eddie Murphy	Shrek Forever After	2010
Mike Myers	Shrek 2	2004
Eddie Murphy	Shrek 2	2004
Julie Andrews	Shrek 2	2004
Mike Myers	Wayne's World 2	1993
Tia Carrere	Wayne's World 2	1993
Dana Carvey	Wayne's World 2	1993
Christopher Walken	Wayne's World 2	1993
Robin Williams	Jumanji	1995
Bonnie Hunt	Jumanji	1995
Jonathan Hyde	Jumanji	1995
Kirsten Dunst	Jumanji	1995
Robin Williams	Aladdin	1992
Linda Larkin	Aladdin	1992
Jonathan Freeman	Aladdin	1992
Scott Weinger	Aladdin	1992
Robin Williams	Dead Poets Society	1989
Josh Charles	Dead Poets Society	1989
Ethan Hawke	Dead Poets Society	1989
Robin Williams	Toys	1992
Robin Wright	Toys	1992
Michael Gambon	Toys	1992
Joan Cusack	Toys	1992
Robin Williams	Club Paradise	1986
Jimmy Cliff	Club Paradise	1986
Peter O'Toole	Club Paradise	1986
Rick Moranis	Club Paradise	1986
Robin Williams	Seize the Day	1986
David Bickford	Seize the Day	1986
Glenne Headly	Seize the Day	1986
Richard B. Shull	Seize the Day	1986
Robin Williams	Man of the Year	2006
Laura Linney	Man of the Year	2006
Christopher Walken	Man of the Year	2006
Lewis Black	Man of the Year	2006
Robin Williams	Death to Smoochy	2002
Edward Norton	Death to Smoochy	2002
Catherine Keener	Death to Smoochy	2002
Danny DeVito	Death to Smoochy	2002
Robin Williams	Cadillac Man	1990
Tim Robbins	Cadillac Man	1990
Fran Drescher	Cadillac Man	1990
Pamela Reed	Cadillac Man	1990
Robin Williams	Jack	1996
Mary Beth Hurt	Shimmer	1993
Mary Beth Hurt	From the Journals of Jean Seberg	1995
Mary Beth Hurt	Defenseless	1991
Sam Shepard	Defenseless	1991
J.T. Walsh	Defenseless	1991
Barbara Hershey	Defenseless	1991
Mary Beth Hurt	Interiors	1978
Kristin Griffith	Interiors	1978
Mary Beth Hurt	D.A.R.Y.L.	1985
Mary Beth Hurt	Chilly Scenes of Winter	1979
Peter Riegert	Chilly Scenes of Winter	1979
John Heard	Chilly Scenes of Winter	1979
Kenneth McMillan	Chilly Scenes of Winter	1979
Mary Beth Hurt	Parents	1989
Bryan Madorsky	Parents	1989
Randy Quaid	Parents	1989
Sandy Dennis	Parents	1989
Mary Beth Hurt	Slaves of New York	1989
Chris Sarandon	Slaves of New York	1989
Adam Coleman Howard	Slaves of New York	1989
Bernadette Peters	Slaves of New York	1989
Glenn Close	The Stepford Wives	2004
Nicole Kidman	The Stepford Wives	2004
Bette Midler	The Stepford Wives	2004
Matthew Broderick	The Stepford Wives	2004
Glenn Close	Gates of the Arctic	2008
Glenn Close	What I Want My Words to Do to You: Voices from Inside a Women's Maximum Security Prison	2003
Eve Ensler	What I Want My Words to Do to You: Voices from Inside a Women's Maximum Security Prison	2003
Mary Alice	What I Want My Words to Do to You: Voices from Inside a Women's Maximum Security Prison	2003
Hazelle Goodman	What I Want My Words to Do to You: Voices from Inside a Women's Maximum Security Prison	2003
Kelly Lynch	Cold Around the Heart	1997
Kelly Lynch	Mr. Magoo	1997
Matt Keeslar	Mr. Magoo	1997
Leslie Nielsen	Mr. Magoo	1997
Nick Chinlund	Mr. Magoo	1997
Kelly Lynch	Virtuosity	1995
Russell Crowe	Virtuosity	1995
Stephen Spinella	Virtuosity	1995
Denzel Washington	Virtuosity	1995
Billy Bob Thornton	Waking Up in Reno	2002
Billy Bob Thornton	Mr. Woodcock	2007
Amy Poehler	Mr. Woodcock	2007
Seann William Scott	Mr. Woodcock	2007
Billy Bob Thornton	Chrystal	2004
Lisa Blount	Chrystal	2004
Kamron Ross Stacey	Chrystal	2004
David Rhodes	Chrystal	2004
Billy Bob Thornton	The Alamo	2004
Emilio Echevarria	The Alamo	2004
Jason Patric	The Alamo	2004
Dennis Quaid	The Alamo	2004
Billy Bob Thornton	Friday Night Lights	2004
Lucas Black	Friday Night Lights	2004
Derek Luke	Friday Night Lights	2004
Jay Hernandez	Friday Night Lights	2004
Billy Bob Thornton	Parkland	2013
Zac Efron	Parkland	2013
Paul Giamatti	Parkland	2013
Tom Welling	Parkland	2013
Billy Bob Thornton	The Informers	2008
Kim Basinger	The Informers	2008
Jon Foster	The Informers	2008
Mickey Rourke	The Informers	2008
Billy Bob Thornton	The Man Who Wasn't There	2001
Michael Badalucco	The Man Who Wasn't There	2001
James Gandolfini	The Man Who Wasn't There	2001
Billy Bob Thornton	Sling Blade	1996
Dwight Yoakam	Sling Blade	1996
John Ritter	Sling Blade	1996
J.T. Walsh	Sling Blade	1996
Hank Azaria	Cradle Will Rock	1999
Joan Cusack	Cradle Will Rock	1999
Bill Skarsgard	The Crown Jewels	2011
Alicia Vikander	The Crown Jewels	2011
Noah Bystrom	The Crown Jewels	2011
Bill Skarsgard	It Chapter Two	2019
James McAvoy	It Chapter Two	2019
Jessica Chastain	It Chapter Two	2019
Sophia Lillis	It Chapter Two	2019
Bill Skarsgard	Moomins and the Winter Wonderland	2017
Piotr Fronczewski	Moomins and the Winter Wonderland	2017
Bill Skarsgard	It	2017
Finn Wolfhard	It	2017
Sophia Lillis	It	2017
Bill Skarsgard	Simon & the Oaks	2011
Helen Sjoholm	Simon & the Oaks	2011
Jan Josef Liefers	Simon & the Oaks	2011
Maika Monroe	Echoes of War	2015
William Forsythe	Echoes of War	2015
Ethan Embry	Echoes of War	2015
James Badge Dale	Echoes of War	2015
Maika Monroe	Bokeh	2017
Arnar Jonsson	Bokeh	2017
Matt O'Leary	Bokeh	2017
Gunnar Helgason	Bokeh	2017
Jeffrey Donovan	Sam & Joe	2004
Michael T. Ringer	Sam & Joe	2004
Petra Wright	Sam & Joe	2004
Gina Philips	Sam & Joe	2004
Jeffrey Donovan	Throwing Down	1995
Colleen Werthmann	Throwing Down	1995
Timothy Wheeler	Throwing Down	1995
Kevin Pinassi	Throwing Down	1995
Jeffrey Donovan	Extinction	2015
Quinn McColgan	Extinction	2015
Clara Lago	Extinction	2015
Matthew Fox	Extinction	2015
Jeffrey Donovan	Book of Shadows: Blair Witch 2	2000
Erica Leerhsen	Book of Shadows: Blair Witch 2	2000
Kurt Loder	Book of Shadows: Blair Witch 2	2000
Stephen Barker Turner	Book of Shadows: Blair Witch 2	2000
Jeffrey Donovan	Believe in Me	2006
Frank Grillo	Wheelman	2017
Garret Dillahunt	Wheelman	2017
Shea Whigham	Wheelman	2017
Caitlin Carmichael	Wheelman	2017
Frank Grillo	Once Upon a Time in Staten Island	2019
Max Casella	Once Upon a Time in Staten Island	2019
Naomi Watts	Once Upon a Time in Staten Island	2019
Bobby Cannavale	Once Upon a Time in Staten Island	2019
Bella Thorne	I Still See You	2018
Dermot Mulroney	I Still See You	2018
Amy Price-Francis	I Still See You	2018
Richard Harmon	I Still See You	2018
Bella Thorne	Shovel Buddies	2016
Jenny Cooper	Shovel Buddies	2016
Kian Lawley	Shovel Buddies	2016
Bella Thorne	Amityville: The Awakening	2017
Cameron Monaghan	Amityville: The Awakening	2017
Mckenna Grace	Amityville: The Awakening	2017
Jennifer Jason Leigh	Amityville: The Awakening	2017
Bella Thorne	Keep Watching	2017
Chandler Riggs	Keep Watching	2017
Ioan Gruffudd	Keep Watching	2017
Natalie Martinez	Keep Watching	2017
Bella Thorne	You Get Me	2017
Halston Sage	You Get Me	2017
Taylor John Smith	You Get Me	2017
Nash Grier	You Get Me	2017
Bella Thorne	Ride	2018
Simone Labarga	Ride	2018
Jessie T. Usher	Ride	2018
Will Brill	Ride	2018
Byron L. Hopkins	Ride	2018
Shane Graham	Ride	2018
Lorenzo Richelmy	Ride	2018
Bella Thorne	Frog Kingdom	2013
Romeo Miller	Frog Kingdom	2013
Gregg Sulkin	Frog Kingdom	2013
Dallas Lovato	Frog Kingdom	2013
Bella Thorne	Midnight Sun	2018
Patrick Schwarzenegger	Midnight Sun	2018
Quinn Shephard	Midnight Sun	2018
Rob Riggle	Midnight Sun	2018
Bella Thorne	The Duff	2015
Allison Janney	The Duff	2015
Mae Whitman	The Duff	2015
Robbie Amell	The Duff	2015
Aaron Tveit	Created Equal	2017
Edy Ganem	Created Equal	2017
Gregory Alan Williams	Created Equal	2017
Lou Diamond Phillips	Created Equal	2017
Mary Tyler Moore	Thoroughly Modern Millie	1967
Carol Channing	Thoroughly Modern Millie	1967
Julie Andrews	Thoroughly Modern Millie	1967
James Fox	Thoroughly Modern Millie	1967
Lela Rochon	Waiting to Exhale	1995
Whitney Houston	Waiting to Exhale	1995
Loretta Devine	Waiting to Exhale	1995
Angela Bassett	Waiting to Exhale	1995
Rob Morrow	Little Loopers	2015
Jay R. Ferguson	Little Loopers	2015
Rob Morrow	Going Shopping	2005
Victoria Foyt	Going Shopping	2005
Lee Grant	Going Shopping	2005
Rob Morrow	Atlas Shrugged: Who Is John Galt?	2014
Laura Regan	Atlas Shrugged: Who Is John Galt?	2014
Rob Morrow	Maze	2000
Laura Linney	Maze	2000
Rob Morrow	Into My Heart	1998
Claire Forlani	Into My Heart	1998
Rob Morrow	Last Dance	1996
Randy Quaid	Last Dance	1996
Sharon Stone	Last Dance	1996
Rob Morrow	The Good Doctor	2011
Orlando Bloom	The Good Doctor	2011
Taraji P. Henson	The Good Doctor	2011
Riley Keough	The Good Doctor	2011
Rob Morrow	Rehearsal	2015
Bruce Greenwood	Rehearsal	2015
Breanne Hill	Rehearsal	2015
Deborah Kara Unger	Rehearsal	2015
Rob Morrow	Quiz Show	1994
Paul Scofield	Quiz Show	1994
Ralph Fiennes	Quiz Show	1994
John Turturro	Quiz Show	1994
Kevin Connolly	Tyrone	1999
Coolio	Tyrone	1999
Ethan Suplee	Tyrone	1999
Merle Kennedy	Tyrone	1999
Kevin Connolly	Entourage	2015
Adrian Grenier	Entourage	2015
Jerry Ferrara	Entourage	2015
Kevin Dillon	Entourage	2015
Kevin Connolly	Don's Plum	2001
Tobey Maguire	Don's Plum	2001
Leonardo DiCaprio	Don's Plum	2001
Scott Bloom	Don's Plum	2001
Kevin Connolly	Devious Beings	2002
Andre B. Blake	Devious Beings	2002
Patrick Van Horn	Devious Beings	2002
Heather McComb	Devious Beings	2002
Thomas Jane	Killshot	2008
Thomas Jane	Padamati Sandhya Ragam	1987
Gummaluri Sastri	Padamati Sandhya Ragam	1987
Sivamani	Padamati Sandhya Ragam	1987
Thomas Jane	Stander	2003
Deborah Kara Unger	Stander	2003
David O'Hara	Stander	2003
Dexter Fletcher	Stander	2003
Thomas Jane	1922	2017
Kaitlyn Bernard	1922	2017
Dylan Schmid	1922	2017
Molly Parker	1922	2017
Thomas Jane	The Punisher	2004
John Travolta	The Punisher	2004
Laura Harring	The Punisher	2004
Samantha Mathis	The Punisher	2004
Thomas Jane	The Veil	2016
Jessica Alba	The Veil	2016
Aleksa Palladino	The Veil	2016
Lily Rabe	The Veil	2016
Thomas Jane	Dark Country	2009
Ron Perlman	Dark Country	2009
Thomas Jane	Molly	1999
Aaron Eckhart	Molly	1999
Jill Hennessy	Molly	1999
Elisabeth Shue	Molly	1999
Robert Duvall	The Stars Fell on Henrietta	1995
Aidan Quinn	The Stars Fell on Henrietta	1995
Robert Duvall	The Outfit	1973
Karen Black	The Outfit	1973
Robert Duvall	Falling Down	1993
Rachel Ticotin	Falling Down	1993
Michael Douglas	Falling Down	1993
Barbara Hershey	Falling Down	1993
Robert Duvall	John Q	2002
Kimberly Elise	John Q	2002
Denzel Washington	John Q	2002
Gabriela Oltean	John Q	2002
Robert Duvall	Hotel Colonial	1987
Rachel Ward	Hotel Colonial	1987
John Savage	Hotel Colonial	1987
Massimo Troisi	Hotel Colonial	1987
Robert Duvall	The Apostle	1997
Paul Bagget	The Apostle	1997
Lenore Banks	The Apostle	1997
Todd Allen	The Apostle	1997
Robert Duvall	Tomorrow	1972
Richard McConnell	Tomorrow	1972
Sudie Bond	Tomorrow	1972
Olga Bellin	Tomorrow	1972
Haley Joel Osment	Bogus	1996
Andrea Martin	Bogus	1996
Haley Joel Osment	Edges of the Lord	2001
Liam Hess	Edges of the Lord	2001
Richard Banel	Edges of the Lord	2001
Willem Dafoe	Edges of the Lord	2001
Haley Joel Osment	Almost Friends	2016
Christopher Meloni	Almost Friends	2016
Freddie Highmore	Almost Friends	2016
Odeya Rush	Almost Friends	2016
Haley Joel Osment	The Jungle Book 2	2003
Mae Whitman	The Jungle Book 2	2003
Tony Jay	The Jungle Book 2	2003
John Goodman	The Jungle Book 2	2003
Michael Caine	Sleuth	2007
Harold Pinter	Sleuth	2007
Jude Law	Sleuth	2007
Kenneth Branagh	Sleuth	2007
Michael Caine	Mona Lisa	1986
Cathy Tyson	Mona Lisa	1986
Michael Caine	The Wilby Conspiracy	1975
Nicol Williamson	The Wilby Conspiracy	1975
Prunella Gee	The Wilby Conspiracy	1975
Sidney Poitier	The Wilby Conspiracy	1975
Michael Caine	Hannah and Her Sisters	1986
Barbara Hershey	Hannah and Her Sisters	1986
Michael Caine	Ashanti	1979
Peter Ustinov	Ashanti	1979
Kabir Bedi	Ashanti	1979
Beverly Johnson	Ashanti	1979
Michael Caine	Going in Style	2017
Ann-Margret	Going in Style	2017
Alan Arkin	Going in Style	2017
Michael Caine	The Cider House Rules	1999
Tobey Maguire	The Cider House Rules	1999
Michael Caine	The Muppet Christmas Carol	1992
Dave Goelz	The Muppet Christmas Carol	1992
Jerry Nelson	The Muppet Christmas Carol	1992
Steve Whitmire	The Muppet Christmas Carol	1992
Michael Caine	California Suite	1978
Jane Fonda	California Suite	1978
Alan Alda	California Suite	1978
Maggie Smith	California Suite	1978
Michael Caine	My Generation	2017
Mary Quant	My Generation	2017
David Bailey	My Generation	2017
Alexandra Kosasie	My Generation	2017
Arya Vasco	My Generation	2017
Bryan Warow	My Generation	2017
Lutesha	My Generation	2017
Twiggy	My Generation	2017
Anne Bancroft	The Kid from Left Field	1953
Lloyd Bridges	The Kid from Left Field	1953
Ray Collins	The Kid from Left Field	1953
Dan Dailey	The Kid from Left Field	1953
Billy Chapin	The Kid from Left Field	1953
Anne Bancroft	To Be or Not to Be	1983
Ronny Graham	To Be or Not to Be	1983
Anne Bancroft	The Slender Thread	1965
Sidney Poitier	The Slender Thread	1965
Telly Savalas	The Slender Thread	1965
Steven Hill	The Slender Thread	1965
Anne Bancroft	The Restless Breed	1957
Jay C. Flippen	The Restless Breed	1957
Leo Gordon	The Restless Breed	1957
Scott Marlowe	The Restless Breed	1957
Billy Miller	The Restless Breed	1957
Anne Bancroft	The Raid	1954
Van Heflin	The Raid	1954
Lee Marvin	The Raid	1954
Richard Boone	The Raid	1954
Anne Bancroft	The Elephant Man	1980
Anthony Hopkins	The Elephant Man	1980
Anne Bancroft	The Sunchaser	1996
Woody Harrelson	The Sunchaser	1996
Jon Seda	The Sunchaser	1996
Alexandra Tydings	The Sunchaser	1996
James Spader	Jack's Back	1988
Jim Haynie	Jack's Back	1988
Cynthia Gibb	Jack's Back	1988
Robert Picardo	Jack's Back	1988
James Spader	True Colors	1991
Imogen Stubbs	True Colors	1991
Mandy Patinkin	True Colors	1991
James Spader	Mannequin	1987
Andrew McCarthy	Mannequin	1987
Estelle Getty	Mannequin	1987
Kim Cattrall	Mannequin	1987
James Spader	Stargate	1994
Kurt Russell	Stargate	1994
Jaye Davidson	Stargate	1994
Viveca Lindfors	Stargate	1994
James Spader	Sex, Lies, and Videotape	1989
Andie MacDowell	Sex, Lies, and Videotape	1989
Helen Mirren	The Hundred-Foot Journey	2014
Om Puri	The Hundred-Foot Journey	2014
Manish Dayal	The Hundred-Foot Journey	2014
Charlotte Le Bon	The Hundred-Foot Journey	2014
Helen Mirren	The Tempest	2010
Christopher Plummer	The Tempest	2010
Helen Mirren	Hitchcock	2012
Danny Huston	Hitchcock	2012
Anthony Hopkins	Hitchcock	2012
Scarlett Johansson	Hitchcock	2012
Helen Mirren	The Queen	2006
Helen Mirren	The Quiz Kid	1979
Peter Jeffrey	The Quiz Kid	1979
Helen Mirren	Calendar Girls	2003
Julie Walters	Calendar Girls	2003
Penelope Wilton	Calendar Girls	2003
John Alderton	Calendar Girls	2003
Helen Mirren	The Nutcracker and the Four Realms	2018
Keira Knightley	The Nutcracker and the Four Realms	2018
Helen Mirren	The Mosquito Coast	1986
Harrison Ford	The Mosquito Coast	1986
Jadrien Steele	The Mosquito Coast	1986
River Phoenix	The Mosquito Coast	1986
Helen Mirren	The Madness of King George	1994
Rupert Graves	The Madness of King George	1994
Mary Makhatho	Meet the Radebes	2017
Sonia Mbele	Meet the Radebes	2017
Luthuli Dlamini	Meet the Radebes	2017
Hope Davis	Proof	2005
Jake Gyllenhaal	Proof	2005
Anthony Hopkins	Proof	2005
Gwyneth Paltrow	Proof	2005
Hope Davis	Joe Gould's Secret	2000
Hope Davis	Rebel in the Rye	2017
Kevin Spacey	Rebel in the Rye	2017
Victor Garber	Rebel in the Rye	2017
Nicholas Hoult	Rebel in the Rye	2017
Hope Davis	Disconnect	2012
Haley Ramm	Disconnect	2012
Jonah Bobo	Disconnect	2012
Jason Bateman	Disconnect	2012
Blythe Danner	Futureworld	1976
Blythe Danner	The Love Letter	1999
Tom Selleck	The Love Letter	1999
Anthony Bailey	Robin Hood Junior	1975
Rachel Brennock	Robin Hood Junior	1975
Sean Barrett	Robin Hood Junior	1975
Tony Aitken	Robin Hood Junior	1975
Anthony Bailey	Sex and the Other Woman	1972
Maggie Wright	Sex and the Other Woman	1972
Margaret Burton	Sex and the Other Woman	1972
Bartlett Mullins	Sex and the Other Woman	1972
Kay Adrian	Sex and the Other Woman	1972
Peggy Ann Clifford	Sex and the Other Woman	1972
Tovah Feldshuh	The Tollbooth	2004
Idina Menzel	The Tollbooth	2004
Tovah Feldshuh	Charlie Hoboken	1998
Ken Garito	Charlie Hoboken	1998
Anita Gillette	Charlie Hoboken	1998
Austin Pendleton	Charlie Hoboken	1998
Tovah Feldshuh	Triangle: Remembering the Fire	2011
Suzanne Pred Bass	Triangle: Remembering the Fire	2011
Dennis Clancey	Triangle: Remembering the Fire	2011
Leigh Benin	Triangle: Remembering the Fire	2011
Tovah Feldshuh	Love Comes Lately	2007
Barbara Hershey	Love Comes Lately	2007
Otto Tausig	Love Comes Lately	2007
Rhea Perlman	Love Comes Lately	2007
Tovah Feldshuh	The Idolmaker	1980
Paul Land	The Idolmaker	1980
Tovah Feldshuh	Cheaper to Keep Her	1980
Steven M. Gagnon	Cheaper to Keep Her	1980
Mac Davis	Cheaper to Keep Her	1980
Elizabeth Ashley	Coma	1978
Rip Torn	Coma	1978
Michael Douglas	Coma	1978
Genevieve Bujold	Coma	1978
Elizabeth Ashley	The Cake Eaters	2007
Miriam Shor	The Cake Eaters	2007
Bruce Dern	The Cake Eaters	2007
Olympia Dukakis	The Armenians: A Story of Survival	2001
Olympia Dukakis	Never Too Late	1996
Jean Lapointe	Never Too Late	1996
Cloris Leachman	Never Too Late	1996
Jan Rubes	Never Too Late	1996
Olympia Dukakis	The Golden Greek: The Harry Agganis Story	2010
Johnny Pesky	The Golden Greek: The Harry Agganis Story	2010
Curt Gowdy	The Golden Greek: The Harry Agganis Story	2010
Olympia Dukakis	The Cemetery Club	1993
Danny Aiello	The Cemetery Club	1993
Diane Ladd	The Cemetery Club	1993
Ellen Burstyn	The Cemetery Club	1993
Olympia Dukakis	Moonstruck	1987
Danny Aiello	Moonstruck	1987
Nicolas Cage	Moonstruck	1987
Cher	Moonstruck	1987
Olympia Dukakis	Steel Magnolias	1989
Sally Field	Steel Magnolias	1989
Hope Davis	Hearts in Atlantis	2001
Anton Yelchin	Hearts in Atlantis	2001
Mika Boorem	Hearts in Atlantis	2001
Anthony Hopkins	Hearts in Atlantis	2001
Robin Tunney	Vertical Limit	2000
Chris O'Donnell	Vertical Limit	2000
Scott Glenn	Vertical Limit	2000
Bill Paxton	Vertical Limit	2000
Robin Tunney	Supernova	2000
Peter Facinelli	Supernova	2000
Angela Bassett	Supernova	2000
Robin Tunney	Niagara, Niagara	1997
Henry Thomas	Niagara, Niagara	1997
Stephen Lang	Niagara, Niagara	1997
Michael Parks	Niagara, Niagara	1997
Robin Tunney	August	2008
Adam Scott	August	2008
Naomie Harris	August	2008
Josh Hartnett	August	2008
Robin Tunney	Paparazzi	2004
Cole Hauser	Paparazzi	2004
Dennis Farina	Paparazzi	2004
Daniel Baldwin	Paparazzi	2004
Robin Tunney	Julian Po	1997
Michael Parks	Julian Po	1997
Cherry Jones	Julian Po	1997
Robin Tunney	The Zodiac	2005
Rory Culkin	The Zodiac	2005
William Mapother	The Zodiac	2005
Justin Chambers	The Zodiac	2005
Robin Tunney	My All-American	2015
Aaron Eckhart	My All-American	2015
Finn Wittrock	My All-American	2015
Sarah Bolger	My All-American	2015
Robin Tunney	End of Days	1999
Arnold Schwarzenegger	End of Days	1999
Gabriel Byrne	End of Days	1999
Kevin Pollak	End of Days	1999
Jennifer Jason Leigh	Kansas City	1996
Harry Belafonte	Kansas City	1996
Miranda Richardson	Kansas City	1996
Michael Murphy	Kansas City	1996
Jennifer Jason Leigh	Palindromes	2004
Ellen Barkin	Palindromes	2004
Peter Gallagher	Everybody Just Stay Calm	1994
Martin Scorsese	Everybody Just Stay Calm	1994
Hank Blumenthal	Everybody Just Stay Calm	1994
Whit Stillman	Everybody Just Stay Calm	1994
Mira Sorvino	Everybody Just Stay Calm	1994
Peter Gallagher	The Man Who Knew Too Little	1997
Richard Wilson	The Man Who Knew Too Little	1997
Joanne Whalley	The Man Who Knew Too Little	1997
Bill Murray	The Man Who Knew Too Little	1997
Peter Gallagher	Dreamchild	1985
Caris Corfman	Dreamchild	1985
Ian Holm	Dreamchild	1985
Coral Browne	Dreamchild	1985
Peter Gallagher	The War Boys	2009
Victor Rasuk	The War Boys	2009
Benjamin Walker	The War Boys	2009
Brian J. Smith	The War Boys	2009
Matthew Broderick	Addicted to Love	1997
Tcheky Karyo	Addicted to Love	1997
Meg Ryan	Addicted to Love	1997
Kelly Preston	Addicted to Love	1997
Matthew Broderick	Diminished Capacity	2008
Alan Alda	Diminished Capacity	2008
Virginia Madsen	Diminished Capacity	2008
Jimmy Bennett	Diminished Capacity	2008
Matthew Broderick	Biloxi Blues	1988
Christopher Walken	Biloxi Blues	1988
Corey Parker	Biloxi Blues	1988
Matt Mulhern	Biloxi Blues	1988
